Idx	Day of Expt	Sample_Type	QC	Batch 	Order	Sample_id	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M100	M101	M102	M103	M104	M105	M106	M107	M108	M109	M110	M111	M112	M113	M114	M115	M116	M117	M118	M119	M120	M121	M122	M123	M124	M125	M126	M127	M128	M129
1	2014-12-08	QC	1	1	1	sample_1	90.1	491.6	202.9	35.0	164.2	19.7	41.0	46.5	17.3	106.8	61.7	75.3	79.7	35.3	28.8	245.9	5.8	122.2	90.9	47.0	49.0	37.2	422.0	155.1	21.4	16.5		19.9	65.0	22.0	18.9	97.8	274.1	26.3	110.8	13.0	33.7	352.3	34.7	33.8	69.9	47.7	7.9	119.1	631.6	403.7	47.4	8029.5	91.3	98.1	372.1	148.2	562.4	0.3	102.6	74.1	200.4	195.6	474.5	170.9	564.9	232.0	253.1	115.9	262.7	3104.5	94.5	128.9	0.6	13.8	23.8	169.9	134.3	9.9	75.7	606.9	451.5	0.1	20.2	455.8	314.0			8.8	35.2	40.2	16.8	136.3	384.5	28.6	60.0	10.1	69.8	99.3	13.8		19.4	10.2	30.6	108.4	31.0	168.1	182.5	185.3	44.0	30.8	214.2	8.4	239.0	156.8	6.6	201.7	84.6	70.2	291.2	32.9	112.3	198.7	128.5	109.4	3.7	18.5	266.1	431.2	145.1	35.7	118.6	710.6	203.6
2	2014-12-08	Sample	0	1	2	sample_2	43.0	525.7	130.2		694.5	114.5	37.9	125.7	57.8		490.6	203.4	330.8		210.7	150.3	71.5	553.1	217.7	207.9	238.8	297.2	591.2	446.4	28.3	47.9	126.8	12.9	291.9	58.5	1336.6	621.2	776.7	324.5	282.8	154.3	403.3	11.7	66.1	50.9		226.8	46.2	45.4	5354.5	109.3		16744.8	775.4	563.5	520.6	306.7	1292.2	4.6	604.3	140.3	1158.9	1631.4	590.9	798.6	1215.6	785.6	2965.9	490.2	1416.5	3168.2	601.0	257.4	288.0	68.0	232.6	427.9	260.0	88.2	408.1	1127.2	799.1	46.0	199.6	205.4	1399.8	121.7	8707.8	108.4	125.5	162.0	28.3	319.6	3712.3	285.6	337.5	84.3	120.4	2383.3	97.2	7.6		42.1	46.1	1348.1	148.7	58.6	1482.8	333.6	193.5	71.0	834.3	157.5	113.8	69.3	150.6	477.6	3.3	217.9	66.6	131.0	694.5	635.3	209.7	237.9	47.4	41.8	188.3	673.1	283.1	61.7	316.1	390.7	199.0
3	2014-12-08	Sample	0	1	3	sample_3	214.3	10703.2	104.7	46.8	483.4	152.3	110.1	85.1	238.3	48.0	2441.2	100.0	873.3	29.3	45.4	226.4	36.3	371.9	98.1	116.5	30.3	24.6	593.4	232.6	35.1	26.8	78.4	3772.3	144.3	52.8	0.2	360.1	532.3	507.0	3207.5	161.7	21.7	947.7	185.6	124.3	80.0	129.5	40.9	79.4	1230.8	382.8		12939.2	464.5	512.4		197.6	6413.9	26.7	19.7	145.8	9435.5	1155.3	6537.7	2813.2	3118.4		12076.8	612.3	1798.1	689.4	531.3	125.0	112.7	194.8	51.5	243.4	214.0	46.2	395.6	2940.8	1532.2			204.9	2942.9	147.8		18.7	85.8	91.4	99.3	396.0	694.1	277.9	61.3		236.4	579.0		11.7	12.9	78.1	75.3	206.9	42.3	189.3	211.5	367.8	147.5		1338.7	244.7	1045.7	83.2	2664.3	550.5	1319.4	413.9	55.5	42.5	25.7	271.9	88.9	105.4	40.4	39.0	67.6	997.8	180.6	76.2	154.4	31.6	195.2
4	2014-12-08	Sample	0	1	4	sample_4	31.6	59.7	86.4	14.0	88.6	10.3	170.3	23.9			140.7	12.6	46.3	62.9	38.3	49.7	0.4	31.3	38.6	53.2	45.4	3.7	130.1	1.6	26.6	10.3	22.8	14.5	25.5	11.2	4.8	111.6	133.4	37.3		34.5	31.0	60.5	14.7	28.8	80.1	67.0	11.0	34.8	1679.3	9.7	38.6	4562.6	112.2	67.6	263.2	134.8	130.6	1.0	36.2	44.7	141.6	159.8	74.6	38.7	264.4	195.5	511.6	309.8	156.9	632.1	55.2	264.9	29.9	14.0	16.2		18.6	9.2	100.1	73.0		1.6		141.6	304.2	0.3	198.4	67.7	0.7	54.1	19.2	75.2	180.5	26.3	26.2	12.1	50.7	119.6		6.7	6.5	20.1	17.1	124.9	21.4	53.9	50.3	105.8	31.8	43.1	160.1	41.9	16.6	31.6	22.4	18.8	90.7	39.6	136.2	11.7	91.1	59.1	16.1			12.3	50.1	184.1	102.1	31.1	64.1	91.4	91.6
5	2014-12-08	Sample	0	1	5	sample_5	81.9	258.7	315.1	8.7	243.2	18.4	349.4	61.1	12.2	72.9	48.7	57.3	140.1	77.8	51.0	71.3	18.8	265.0	84.7	78.8	141.3	58.0	722.1	174.7	58.9	65.9	2.8	15.3	63.5	38.1	11.2	233.6	328.4	79.4	7.1	305.9	12.2	327.2	23.3	87.3	84.7	116.2	40.7	38.4	2035.5	278.7	99.2	12562.3	390.7	197.8	575.6	190.7	759.9	2.3	70.4	148.6	612.1	490.4	619.4	390.7	1036.3	442.1	824.3	580.5	662.8	507.3	121.4	232.4	73.3	42.3	32.9	250.4	79.2	20.0	503.2	708.4	774.8			251.0	425.9	38.5	213.5	30.2	5.8	695.7	23.7	216.2	485.6	75.8	65.2	20.4	111.9	569.7	36.8	2.5	14.4	15.8	51.2	359.8	28.2	164.0	167.1	502.1	419.6	33.9	393.1	52.8	26.3	47.5	78.2	538.8	133.3	65.1	411.1	48.9	18.8	225.8	91.5	42.9	40.3	3.9	235.0	585.5	624.2	122.4	135.0	322.3	254.3
6	2014-12-08	Sample	0	1	6	sample_6	196.9	128.2	862.5	18.7	200.1	4.7	37.3	243.7	293.3	113.1	103.7	116.6	81.7	52.3	76.8	273.5	45.8	394.7	66.9	63.0	101.1	96.6	640.5	74.8	29.1	20.3	185.5	55.9	157.6	88.8	112.0	76.4	297.9			17.4	141.4	362.5	52.9	100.6		110.9	19.3	9.2	2578.0	7.0	223.6	8484.2	107.0	128.8	229.6	90.3	689.4	0.4	12202.2	116.8	864.8	1120.2	513.3	25.0	1148.6	512.5	731.5	169.5	1148.2	933.1	163.6	112.7	220.5	47.0	28.1	274.3	131.2	1.6	196.3	512.5	308.2	40.7	28.5	2023.8	929.3	133.8	363.7	484.3	33.3	79.0	11.8	208.2	1139.8	56.1	79.8	18.5	38.0	1233.6		12.5	11.9	70.3	40.6	240.0	15.9	213.0	459.2	269.3	142.6	118.8	274.3	48.1	635.2	124.6	32.4	402.4		230.4	163.7	13.1	890.0	587.1	241.5	69.1	0.6	14.3	36.3	848.7	135.0	38.9	162.4	129.7	207.2
7	2014-12-08	Sample	0	1	7	sample_7	45.5	190.4	32.0		362.7	35.7	59.6	51.3		60.1	58.1	97.8	95.8	34.6	58.1	277.2	133.7	670.6	99.5	341.9	1.1	122.3	601.8	338.6	57.7	53.5	180.7	27.1	242.9	116.9	26.2	123.7	269.5	11.3	33.4		41.9	1039.9	44.0	78.0	96.1	231.5	10.0	433.4	549.5		110.9	13681.8	533.1	157.0	231.2	97.9	1193.1	18.0	156.6	74.4	243.2	1288.8	243.9		870.4	1691.1	209.9	287.3	1416.1	823.5	145.3	227.0	347.1	97.8	36.2	629.0	188.7	19.3	80.0	772.2	537.3	34.0		359.9	1158.7	202.7	565.4	0.1	62.4	128.6	26.7	264.3	1855.9	148.0	44.1	36.5	22.3	434.3	80.1	14.4		218.9	50.6	5188.2	35.5	224.9	746.4	603.2	180.6	202.6	440.7	54.1	183.9	129.3	23.1	533.1	12.7	177.2	74.2	11.2	16.7	1292.0	151.7	242.3	8.0	16.6	250.0	922.2	261.3	49.4	240.9	326.5	229.9
8	2014-12-08	Sample	0	1	8	sample_8	91.0	231.9	212.5	18.2	72.5	6.7	15.3	37.1	22.7	47.8	54.1	26.9	48.2	30.3	19.2	133.3	23.3	49.0	58.0	24.0		20.3	153.5	1.1	6.6	29.3	11.1		34.2	13.9	9.9	38.7	249.8	72.5	275.5	4.0	13.9	31.0	10.3	40.0	1.1	50.0	21.0	10.0	675.8	44.2	56.3	2665.0	129.8	61.6	8.8	55.8	179.3		23.7	62.4	180.5	166.1	100.8	123.3	261.5	164.6	3.7	178.2	159.6	1435.9	72.3	266.1	34.5	2.4	14.0	30.5	37.1	6.2	66.9	318.2	45.0	1.3		914.3	187.4		120.0	91.2	22.7	11.2	17.4	67.6	78.4	31.2	20.7	0.1	35.4	67.8	12.5	0.8	8.4	22.2	23.4	81.6	6.8	32.6	79.4	143.1	66.9	20.5	71.5	7.6	18.7	123.6	23.6	32.8	32.3	68.4	60.7	3.7	128.6	82.3	14.4	7.5	20.3	8.2	42.3	175.5	73.8	20.0	70.4	18.0	81.6
9	2014-12-08	Sample	0	1	9	sample_9	480.6	470.3	60.7	8.4	270.2	57.4	213.8	65.6	59.5	148.9	92.9	65.6	77.6	61.9	54.2	85.0		218.6	26.0	12.8	21.9		677.4	106.5	39.6	20.8	24.9	15.2	51.4	41.4	67.7	444.9	324.5	97.0	820.8	6.7	150.5	924.5	101.7	23.1	444.0	98.2	26.9	76.6	1978.1	1.5	0.1	6864.3	11.4	0.2	354.3	129.4	505.1	30.6	230.1	44.0	1165.4		727.2	160844.7	2501.6	639.0	1202.9	137.9	331.0	2154.9	201.6	105.6	37.6	22.0	28.3		84.7	29.1	491.5			31.9	50.0	179.8	3849.4	15.2	787.6	247.3	39.5	40.2	122.5	155.4	696.9	59.4	34.9	43.9	30.0	461.7	17.1	8.4	13.3		182.8	60.0	26.5	220.8	115.9	371.0	38.7	59.9	350.2	62.7	373.2	44.5	50.0	200.4	777.4	242.7	392.5	38.7	575.4	45.5	57.8	97.8	26.7	53.7	168.3	1151.0	354.4	51.5	34.0	106.2	197.2
10	2014-12-08	QC	1	1	10	sample_10	62.2	181.5	75.5	36.0	203.4	18.7	44.4	48.6	47.2	153.8	59.0	82.2	86.0	28.4	29.3	281.9	2.7	145.6	55.0	17.0	20.2	23.4	193.3	88.5	26.2	15.4	18.6	11.0	95.1	43.7	20.4	95.6	337.3			13.9	39.2	166.5	20.6	20.2	41.7	259.3	7.2	127.9	601.5	254.1	374.3	7915.5	247.5	107.8	328.0	108.8	534.5	2.1	119.1	37.1	605.4	249.6	345.4	102.8	668.4	178.6	206.8	382.8	212.8	3063.7	105.4	171.9	43.2	19.4	30.2	20.1	118.8	13.9	103.5	326.9	356.1		28.1		451.8	0.2	103.2	115.2	47.9	42.1	29.3	153.1	402.4	31.7	36.8	10.7	79.6	85.9	37.6	14.9	22.4	23.7	126.3	130.1	27.4	117.8	149.5	250.7	52.0	45.2	230.5	28.5	36.1	136.4	5.4	188.7		88.3	281.0	39.3	363.7	197.1	115.0	104.8	6.7	12.6	265.9	655.4	334.1	38.4	197.2	261.9	232.4
